The integer vectors in the final columns of each
permutation listing describe how a list 1, 2, ...
gets permuted. So "2 1" implies that element 2 is
mapped to position 1, and the first one ends up in 
second position.
Number of permutations:  768
Perm #:     1 Perm:    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
Perm #:     2 Perm:    1    2    3    4    9   10   11   12    5    6    7    8   13   14   15   16
Perm #:     3 Perm:    1    2    5    6    3    4    7    8    9   10   13   14   11   12   15   16
Perm #:     4 Perm:    1    2    5    6    9   10   13   14    3    4    7    8   11   12   15   16
Perm #:     5 Perm:    1    2    9   10    3    4   11   12    5    6   13   14    7    8   15   16
Perm #:     6 Perm:    1    2    9   10    5    6   13   14    3    4   11   12    7    8   15   16
Perm #:     7 Perm:    1    4    3    2    5    8    7    6    9   12   11   10   13   16   15   14
Perm #:     8 Perm:    1    4    3    2    9   12   11   10    5    8    7    6   13   16   15   14
Perm #:     9 Perm:    1    4    5    8    3    2    7    6    9   12   13   16   11   10   15   14
Perm #:    10 Perm:    1    4    5    8    9   12   13   16    3    2    7    6   11   10   15   14
Perm #:    11 Perm:    1    4    9   12    3    2   11   10    5    8   13   16    7    6   15   14
Perm #:    12 Perm:    1    4    9   12    5    8   13   16    3    2   11   10    7    6   15   14
Perm #:    13 Perm:    1    6    3    8    5    2    7    4    9   14   11   16   13   10   15   12
Perm #:    14 Perm:    1    6    3    8    9   14   11   16    5    2    7    4   13   10   15   12
Perm #:    15 Perm:    1    6    5    2    3    8    7    4    9   14   13   10   11   16   15   12
Perm #:    16 Perm:    1    6    5    2    9   14   13   10    3    8    7    4   11   16   15   12
Perm #:    17 Perm:    1    6    9   14    3    8   11   16    5    2   13   10    7    4   15   12
Perm #:    18 Perm:    1    6    9   14    5    2   13   10    3    8   11   16    7    4   15   12
Perm #:    19 Perm:    1    8    3    6    5    4    7    2    9   16   11   14   13   12   15   10
Perm #:    20 Perm:    1    8    3    6    9   16   11   14    5    4    7    2   13   12   15   10
Perm #:    21 Perm:    1    8    5    4    3    6    7    2    9   16   13   12   11   14   15   10
Perm #:    22 Perm:    1    8    5    4    9   16   13   12    3    6    7    2   11   14   15   10
Perm #:    23 Perm:    1    8    9   16    3    6   11   14    5    4   13   12    7    2   15   10
Perm #:    24 Perm:    1    8    9   16    5    4   13   12    3    6   11   14    7    2   15   10
Perm #:    25 Perm:    1   10    3   12    5   14    7   16    9    2   11    4   13    6   15    8
Perm #:    26 Perm:    1   10    3   12    9    2   11    4    5   14    7   16   13    6   15    8
Perm #:    27 Perm:    1   10    5   14    3   12    7   16    9    2   13    6   11    4   15    8
Perm #:    28 Perm:    1   10    5   14    9    2   13    6    3   12    7   16   11    4   15    8
Perm #:    29 Perm:    1   10    9    2    3   12   11    4    5   14   13    6    7   16   15    8
Perm #:    30 Perm:    1   10    9    2    5   14   13    6    3   12   11    4    7   16   15    8
Perm #:    31 Perm:    1   12    3   10    5   16    7   14    9    4   11    2   13    8   15    6
Perm #:    32 Perm:    1   12    3   10    9    4   11    2    5   16    7   14   13    8   15    6
Perm #:    33 Perm:    1   12    5   16    3   10    7   14    9    4   13    8   11    2   15    6
Perm #:    34 Perm:    1   12    5   16    9    4   13    8    3   10    7   14   11    2   15    6
Perm #:    35 Perm:    1   12    9    4    3   10   11    2    5   16   13    8    7   14   15    6
Perm #:    36 Perm:    1   12    9    4    5   16   13    8    3   10   11    2    7   14   15    6
Perm #:    37 Perm:    1   14    3   16    5   10    7   12    9    6   11    8   13    2   15    4
Perm #:    38 Perm:    1   14    3   16    9    6   11    8    5   10    7   12   13    2   15    4
Perm #:    39 Perm:    1   14    5   10    3   16    7   12    9    6   13    2   11    8   15    4
